ID,Country,Gender
dauser_lukas,GER,m
hosseini_milan,GER,m
hoerr_carlo,GER,m
toba_andreas,GER,m
dunkel_nils,GER,m
osberger_benjamin,FRA,m
degouy_paul,FRA,m
bernard_cameron_lie,FRA,m
philippe_mathias,FRA,m
saladino_leo,FRA,m
mir_nicolau,ESP,m
abad_nestor,ESP,m
diallo_thierno,ESP,m
carrion_caro_daniel,ESP,m
zapata_rayderley,ESP,m
dolci_felix,CAN,m
zakutney_sam,CAN,m
clay_zachary,CAN,m
emard_william,CAN,m
kaji_chris,CAN,m
chiles_jordan,USA,w
jones_shilese,USA,w
carey_jade,USA,w
wong_leanne,USA,w
blakely_skye,USA,w
kinsella_alice,GBR,w
gadirova_jennifer,GBR,w
achampong_ondine,GBR,w
fenton_georgia_mae,GBR,w
gadirova_jennifer,GBR,w
black_elsabeth,CAN,w
turner_sydney,CAN,w
spence_emma,CAN,w
pedrick_denelle,CAN,w
denommee_laurie,CAN,w
andrade_rebeca,BRA,w
pedro_carolyne,BRA,w
oliveira_lorrane,BRA,w
soares_julia,BRA,w
saraiva_flavia,BRA,w
maggio_martina,ITA,w
d_amato_alice,ITA,w
esposito_manila,ITA,w
villa_giorgia,ITA,w
mandriota_veronica,ITA,w
tang_xijing,CHN,w
ou_yushan,CHN,w
luo_rui,CHN,w
zhang_jin,CHN,w
wei_xiaoyuan,CHN,w
miyata_shoko,JPN,w
sakaguchi_ayaka,JPN,w
yamada_chiharu,JPN,w
fukasawa_kokoro,JPN,w
watanabe_hazuki,JPN,w
jesus_santos_melanie,FRA,w
heduit_carolann,FRA,w
boyer_marine,FRA,w
friess_aline,FRA,w
devillard_coline,FRA,w
urazova_vladislava,ROC,w
melnikova_angelina,ROC,w
akhaimova_liliia,ROC,w
gerasimova_elena,ROC,w
listunova_viktoriia,ROC,w
godwin_georgia,AUS,w
brown_romi,AUS,w
scott_breanna,AUS,w
brown_georgia_rose,AUS,w
whitehead_emily,AUS,w
voss_sarah,GER,w
seitz_elisabeth,GER,w
malewski_emma_leonie,GER,w
bui_kim,GER,w
schaefer_betz_pauline,GER,w
vaelen_lisa,BEL,w
derwael_nina,BEL,w
verkest_jutta,BEL,w
o_driscol_aberdeen,BEL,w
enghels_fien,BEL,w
sun_wei,CHN,m
yang_jiaxing,CHN,m
you_hao,CHN,m
zhang_boheng,CHN,m
zou_jingyuan,CHN,m
doi_ryosuke,JPN,m
hashimoto_daiki,JPN,m
kamoto_yuya,JPN,m
tanigawa_wataru,JPN,m
tanigawa_kakeru,JPN,m
fraser_joe,GBR,m
hall_james,GBR,m
jarman_jake,GBR,m
regini_moran_giarnni,GBR,m
tulloch_courtney,GBR,m
abbadini_yumin,ITA,m
bartolini_nicola,ITA,m
casali_lorenzo_minh,ITA,m
macchini_carlo,ITA,m
levantesi_matteo,ITA,m
hong_asher,USA,m
malone_brody,USA,m
nedoroscik_stephen,USA,m
walker_colt,USA,m
whittenburg_donnell,USA,m
baumann_christian,SUI,m
frey_andrin,SUI,m
giubellini_luca,SUI,m
kratter_moreno,SUI,m
langenegger_florian,SUI,m
souza_bitencourt_lucas,BRA,m
guimaraes_yuri,BRA,m
mariano_arthur,BRA,m
soares_diogo,BRA,m
souza_caio,BRA,m
kim_jaeho,KOR,m
kim_hansol,KOR,m
lee_junho,KOR,m
lee_junghyo,KOR,m
ryu_sunghyun,KOR,m